Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,BIP,BABIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,좌%,좌중%,중%,우중%,우%,당%,밀%,좌,좌중,중,우중,우,당,밀,좌_안타,좌중_안타,중_안타,우중_안타,우_안타,당_안타,밀_안타,좌_안타비율,좌중안타비율,중안타비율,우중안타비율,우안타비율,당안타비율,밀안타비율
최동환,19,0,19,6,0,0,0,1,0,2,18.0,7,8,8.00,79,23,6,0,0,5,0,0,11,1,0,0,3.50,4.00,4.00,4.17,3.53,1.56,0.32,63,0.365,30.2,11.1,54.0,65.1,4.8,0.5,0.0,4.3,31.7,20.6,12.7,15.9,19.0,67.3,32.7,20,13,8,10,12,37,18,10,3,4,2,4,13,6,0.500,0.231,0.500,0.200,0.333,0.351,0.333
이상동,17,0,17,6,0,0,0,1,0,3,19.0,13,13,17.30,93,25,7,0,1,11,2,1,15,0,1,3,6.16,6.16,8.19,8.17,4.97,1.89,-0.20,64,0.375,33.8,3.1,58.5,61.5,4.6,0.6,2.5,8.0,16.9,24.6,16.9,16.9,24.6,68.5,31.5,11,16,11,11,16,37,17,4,6,5,2,8,16,4,0.364,0.375,0.455,0.182,0.500,0.432,0.235
김건국,17,3,14,3,0,0,0,1,0,0,31.1,22,23,20.75,144,41,8,0,5,10,2,0,20,2,0,3,6.32,6.61,5.96,6.16,5.69,1.63,0.14,107,0.336,45.5,3.6,44.6,48.2,6.3,0.9,9.3,2.4,16.2,27.9,19.8,15.3,20.7,64.0,36.0,18,31,22,17,23,57,32,7,10,9,4,11,24,8,0.389,0.323,0.409,0.235,0.478,0.421,0.250
김도현,17,0,17,5,0,0,1,3,0,2,19.2,9,10,13.25,92,22,1,0,4,9,5,0,15,0,0,1,4.12,4.58,6.06,6.26,6.92,1.58,0.07,57,0.316,46.0,12.7,38.1,50.8,3.2,0.9,12.5,13.6,22.6,22.6,14.5,19.4,21.0,50.9,49.1,14,14,9,12,13,27,26,6,2,3,3,8,11,8,0.429,0.143,0.333,0.250,0.615,0.407,0.308
정철원,17,0,17,10,0,0,2,1,6,0,14.1,7,8,10.05,77,17,3,0,2,13,5,0,15,1,0,0,4.40,5.02,6.31,6.31,7.14,2.09,0.01,42,0.357,29.5,11.4,54.5,65.9,4.5,0.4,6.9,5.9,25.0,11.4,13.6,22.7,27.3,57.9,42.1,11,5,6,10,12,22,16,5,2,2,2,6,12,3,0.455,0.400,0.333,0.200,0.500,0.545,0.188
박민호,17,0,17,7,0,0,2,0,0,0,20.2,7,9,12.10,84,18,2,0,2,6,1,1,10,1,0,0,3.05,3.92,5.27,5.03,5.04,1.16,0.29,65,0.246,40.3,6.0,47.8,53.7,6.0,0.8,5.6,5.6,27.3,18.2,24.2,16.7,13.6,48.0,52.0,18,12,16,11,9,24,26,6,3,5,1,3,6,7,0.333,0.250,0.313,0.091,0.333,0.250,0.269
박시영,17,0,17,3,0,0,0,1,0,0,16.2,10,10,11.90,73,18,5,1,3,5,1,1,15,0,0,3,5.40,5.40,6.43,6.20,5.02,1.38,0.06,47,0.319,46.2,3.8,42.3,46.2,7.7,1.0,12.5,0.0,23.5,19.6,25.5,17.6,13.7,68.4,31.6,12,10,13,9,7,26,12,6,5,3,2,2,8,7,0.500,0.500,0.231,0.222,0.286,0.308,0.583
김선기,16,5,11,3,0,0,2,2,0,0,37.0,25,27,27.00,179,46,7,0,6,17,4,0,16,4,0,2,6.08,6.57,6.57,6.77,6.81,1.70,0.24,134,0.299,43.7,3.5,49.3,52.8,3.5,0.8,8.0,4.3,19.9,21.3,22.0,21.3,15.6,68.2,31.8,28,30,31,30,22,75,35,11,9,12,4,10,30,4,0.393,0.300,0.387,0.133,0.455,0.400,0.114
전준표,16,3,13,4,0,0,2,3,0,0,21.0,13,20,19.00,106,23,2,0,3,15,4,0,13,4,0,3,5.57,8.57,8.14,8.29,7.16,1.81,-0.10,71,0.282,58.1,4.1,33.8,37.8,4.1,1.5,10.7,8.7,20.5,26.0,17.8,16.4,19.2,51.7,48.3,15,19,13,12,14,31,29,5,5,8,3,2,9,6,0.333,0.263,0.615,0.250,0.143,0.290,0.207
오원석,15,14,1,0,0,0,5,3,0,1,71.1,34,34,32.60,309,63,5,1,7,36,6,1,67,2,0,3,4.29,4.29,4.11,4.11,4.80,1.39,2.15,192,0.292,44.5,4.0,48.0,52.0,3.5,0.9,6.7,4.8,15.0,21.5,23.5,21.0,19.0,54.2,45.8,30,43,47,42,38,83,70,12,16,16,8,11,26,21,0.400,0.372,0.340,0.190,0.289,0.313,0.300
