Name,Team,Position,Pitching/Batting Style,Birth
김기중 (Ki-Joong Kim),한화,P,좌투좌타,"생년월일 :
2002년 11월 16일"
김재윤 (Jae-Yoon Kim),삼성,P,우투우타,"생년월일 :
1990년 09월 16일"
김유영 (Yu-Young Kim),LG,P,좌투좌타,"생년월일 :
1994년 05월 02일"
김민우 (Min-Woo Kim),한화,P,우투우타,"생년월일 :
1995년 07월 25일"
김재웅 (Jae-Woong Kim),키움,P,좌투좌타,"생년월일 :
1998년 10월 22일"
이로운 (Ro-Un Lee),SSG,P,우투우타,"생년월일 :
2004년 09월 11일"
이영하 (Young-Ha Lee),두산,P,우투우타,"생년월일 :
1997년 11월 01일"
이재학 (Jae-Hak Lee),NC,P,우언우타,"생년월일 :
1990년 10월 04일"
김민 (Min Kim ),KT,P,우투우타,"생년월일 :
1999년 04월 14일"
바리아 (Jaime Barria),한화,P,우투우타,"생년월일 :
1996년 07월 18일"
앤더슨 (Andrew James Anderson),,P,우투우타,"생년월일 :
1994년 03월 22일"
조상우 (Sang-Woo Cho),키움,P,우투우타,"생년월일 :
1994년 09월 04일"
김태훈 (Tae-Hun Kim),삼성,P,우투우타,"생년월일 :
1992년 03월 02일"
문동주 (Dong-Ju Moon),한화,P,우투우타,"생년월일 :
2003년 12월 23일"
문성현 (Sung-Hyun Moon),키움,P,우투우타,"생년월일 :
1991년 11월 09일"
장민재 (Min-Jae Jang),한화,P,우투우타,"생년월일 :
1990년 03월 19일"
김규연 (Kyu-Yeon Kim),한화,P,우투우타,"생년월일 :
2002년 08월 23일"
이기순 (Gi-Sun Lee),SSG,P,좌투좌타,"생년월일 :
2003년 05월 14일"
전미르 (Mi-Reu Jeon),롯데,P,우투우타,"생년월일 :
2005년 08월 15일"
주승우 (Seung-Woo Ju),키움,P,우투우타,"생년월일 :
2000년 01월 30일"
우규민 (Kyu-Min Woo),KT,P,우언우타,"생년월일 :
1985년 01월 21일"
최동환 (Dong-Hwan Choi),LG,P,우투우타,"생년월일 :
1989년 09월 19일"
페냐 (Félix Ricardo Peña),한화,P,우투우타,"생년월일 :
1990년 02월 25일"
최원준 (Won-Jun Choi),두산,P,우언우타,"생년월일 :
1994년 12월 21일"
김민규 (Min-Kyu Kim),두산,P,우투좌타,"생년월일 :
1999년 05월 07일"
이종민 (Jong-Min Lee),키움,P,좌투좌타,"생년월일 :
2001년 06월 04일"
한두솔 (Doo-Sol Han),SSG,P,좌투좌타,"생년월일 :
1997년 01월 15일"
이지강 (Ji-Kang Lee),LG,P,우투우타,"생년월일 :
1999년 07월 02일"
한승혁 (Seung-Hyeok Han),한화,P,우투좌타,"생년월일 :
1993년 01월 03일"
김범수 (Beom-Soo Kim),한화,P,좌투좌타,"생년월일 :
1995년 10월 03일"
박민호 (Min-Ho Park),SSG,P,우언우타,"생년월일 :
1992년 02월 25일"
김선기 (Seon-Gi Kim ),키움,P,우투우타,"생년월일 :
1991년 09월 01일"
임준섭 (Joon-Seop Lim),롯데,P,좌투좌타,"생년월일 :
1989년 07월 16일"
송영진 (Young-Jin Song),SSG,P,우투양타,"생년월일 :
2004년 05월 28일"
이민석 (Min-Seok Lee),롯데,P,우투우타,"생년월일 :
2003년 12월 10일"
이준영 (Jun-Yeong Lee),KIA,P,좌투좌타,"생년월일 :
1992년 08월 10일"
진해수 (Hae-Soo Jin),롯데,P,좌투좌타,"생년월일 :
1986년 06월 26일"
박명근 (Myeong-Geun Park),LG,P,우언우타,"생년월일 :
2004년 03월 27일"
박영현 (Yeong-Hyeon Park),KT,P,우투우타,"생년월일 :
2003년 10월 11일"
정우영 (Woo-Young Jeong),LG,P,우언우타,"생년월일 :
1999년 08월 19일"
시라카와 (Keisho Shirakawa),SSG,P,우투우타,"생년월일 :
2001년 06월 04일"
박진 (Jin Park),롯데,P,우투우타,"생년월일 :
1999년 04월 02일"
이선우 (Seon-Woo Lee),KT,P,우언우타,"생년월일 :
2000년 09월 19일"
박윤성 (Yoon-Sung Park),키움,P,우투우타,"생년월일 :
2004년 02월 08일"
박신지 (Shin-Ji Park),두산,P,우투우타,"생년월일 :
1999년 07월 16일"
박시영 (Si-Young Park),KT,P,우투우타,"생년월일 :
1989년 03월 10일"
김건국 (Keon-Guk Kim),KIA,P,우투우타,"생년월일 :
1988년 02월 02일"
