Name,Team,Position,Pitching/Batting Style,Birth
김현수 (Hyun-Soo Kim),LG,LF,우투좌타,"생년월일 :
1988년 01월 12일"
강민호 (Min-Ho Kang),삼성,C,우투우타,"생년월일 :
1985년 08월 18일"
신민재 (Min-Jae Shin),LG,2B,우투좌타,"생년월일 :
1996년 01월 21일"
류지혁 (Ji-Hyeok Ryu),삼성,SS,우투좌타,"생년월일 :
1994년 01월 13일"
한준수 (Jun-Soo Han),KIA,C,우투좌타,"생년월일 :
1999년 02월 13일"
김재환 (Jae-Hwan Kim),두산,LF,우투좌타,"생년월일 :
1988년 09월 22일"
김태군 (Tae-Kun Kim),KIA,C,우투우타,"생년월일 :
1989년 12월 30일"
황재균 (Jae-Gyun Hwang),KT,3B,우투우타,"생년월일 :
1987년 07월 28일"
김기연 (Ki-Yeon Kim),두산,C,우투우타,"생년월일 :
1997년 09월 07일"
소크라테스 (Sócrates Orel Brito),KIA,CF,좌투좌타,"생년월일 :
1992년 09월 06일"
박상언 (Sang-Un Park),한화,C,우투우타,"생년월일 :
1997년 03월 03일"
김태연 (Tae-Yeon Kim),한화,3B,우투우타,"생년월일 :
1997년 06월 10일"
김성욱 (Seong-wook Kim),NC,RF,우투우타,"생년월일 :
1993년 05월 01일"
김상수 (Sang-Su Kim),KT,SS,우투우타,"생년월일 :
1990년 03월 23일"
정준재 (Jun-jae Jung),,2B,우투좌타,"생년월일 :
2003년 01월 03일"
양석환 (Seok-Hwan Yang),두산,1B,우투우타,"생년월일 :
1991년 07월 15일"
오윤석 (Yoon-Seok Oh),KT,2B,우투우타,"생년월일 :
1992년 02월 24일"
서건창 (Geon-Chang Seo),KIA,2B,우투좌타,"생년월일 :
1989년 08월 22일"
김성현 (Sung-Hyun Kim),SSG,SS,우투우타,"생년월일 :
1987년 03월 09일"
김헌곤 (Heon-Gon Kim),삼성,RF,우투우타,"생년월일 :
1988년 11월 09일"
김민식 (Min-Sik Kim),SSG,C,우투좌타,"생년월일 :
1989년 06월 28일"
김범석 (Beom-Seok Kim),LG,DH,우투우타,"생년월일 :
2004년 05월 21일"
김건희 (Geon-Hee Kim),키움,1B,우투우타,"생년월일 :
2004년 11월 07일"
정훈 (Hoon Jung),롯데,2B,우투우타,"생년월일 :
1987년 07월 18일"
이병헌 (Byung-Heon Lee),삼성,C,우투우타,"생년월일 :
1999년 10월 26일"
신윤후 (Yoon-Hoo Shin),롯데,CF,우투우타,"생년월일 :
1996년 01월 05일"
최정원 (Jeong-Won Choi),NC,2B,우투좌타,"생년월일 :
2000년 06월 24일"
추신수 (Shin-Soo Choo),SSG,RF,좌투좌타,"생년월일 :
1982년 07월 13일"
김호령 (Ho-Ryeong Kim),KIA,CF,우투우타,"생년월일 :
1992년 04월 30일"
박세혁 (Se-Hyuk Park),NC,C,우투좌타,"생년월일 :
1990년 01월 09일"
김강민 (Kang-Min Kim),한화,CF,우투우타,"생년월일 :
1982년 09월 13일"
김주형 (Joo-Hyeong Kim),키움,2B,우투우타,"생년월일 :
1996년 03월 05일"
도태훈 (Tae-Hun Do),NC,3B,우투좌타,"생년월일 :
1993년 03월 18일"
김병준 (Byeong-Jun Kim),KT,CF,우투좌타,"생년월일 :
2003년 07월 03일"
손성빈 (Seong-Bin Son),롯데,C,우투우타,"생년월일 :
2002년 01월 14일"
이창진 (Chang-Jin Lee),KIA,LF,우투우타,"생년월일 :
1991년 03월 04일"
최준우 (Jun-Woo Choi),SSG,2B,우투좌타,"생년월일 :
1999년 03월 25일"
조대현 (Dae-Hyun Cho),KT,C,우투우타,"생년월일 :
1999년 08월 06일"
고명준 (Myeong-Jun Ko),SSG,1B,우투우타,"생년월일 :
2002년 07월 08일"
김민혁 (Min-Hyeok Kim),두산,1B,우투우타,"생년월일 :
1996년 05월 03일"
전민재 (Min-Jae Jeon),두산,2B,우투우타,"생년월일 :
1999년 06월 30일"
변상권 (Sang-Kwon Byun),키움,CF,우투좌타,"생년월일 :
1997년 04월 04일"
안치홍 (Chi-Hong An),한화,2B,우투우타,"생년월일 :
1990년 07월 02일"
오영수 (Young-Soo Oh),NC,3B,우투좌타,"생년월일 :
2000년 01월 30일"
김현종 (Hyun-jong Kim),LG,CF,우투우타,"생년월일 :
2004년 08월 04일"
윤정빈 (Jung-Bin Yoon),삼성,RF,우투좌타,"생년월일 :
1999년 06월 24일"
김휘집 (Whee-Jip Kim),NC,SS,우투우타,"생년월일 :
2002년 01월 01일"
김태훈 (Tae-Hun Kim),삼성,SS,우투좌타,"생년월일 :
1996년 03월 31일"
박한결 (Han-Gyeol Park ),NC,LF,우투우타,"생년월일 :
2004년 04월 26일"
김민성 (Min-Sung Kim),롯데,3B,우투우타,"생년월일 :
1988년 12월 17일"
홍성호 (Sung-Ho Hong),두산,RF,우투좌타,"생년월일 :
1997년 07월 15일"
안익훈 (Ik-Hun Ahn),LG,CF,좌투좌타,"생년월일 :
1996년 02월 12일"
